cid,week_num,qty,amnt
1,1,1,11.77
2,2,6,89.0
3,1,2,20.76
3,13,2,20.76
3,14,2,19.54
3,46,5,57.45
3,47,4,20.96
3,74,1,16.99
4,1,2,29.33
4,3,2,29.73
4,31,1,14.96
4,50,2,26.48
5,1,2,29.33
5,2,1,13.97
5,5,3,38.9
5,15,3,45.55
5,22,3,38.71
5,24,2,26.14
5,29,2,28.14
5,37,3,40.47
5,49,4,46.46
5,50,3,40.47
5,53,3,37.47
6,1,1,20.99
7,1,2,28.74
7,41,7,97.43
7,64,9,138.5
8,1,1,9.77
8,7,1,13.97
8,24,3,45.29
8,27,2,36.76
8,46,8,53.42
8,52,1,13.99
8,65,2,24.46
9,1,2,23.54
9,19,2,30.33
9,75,2,41.98
10,3,3,39.31
11,1,1,13.49
11,4,1,19.3
11,11,1,12.77
11,60,1,12.99
12,1,4,57.06
13,1,4,72.94
14,1,2,29.92
15,1,4,52.87
16,1,1,9.77
16,28,2,31.6
16,30,4,28.51
16,37,1,9.99
17,1,5,73.22
18,1,1,14.96
19,1,10,163.35
19,23,1,11.77
20,1,27,363.6
20,3,19,289.41
21,1,3,63.34
21,2,1,11.77
22,1,1,14.37
23,1,2,24.74
24,1,3,47.28
24,55,1,10.49
25,1,2,24.96
25,29,1,13.9
25,33,1,12.25
25,43,1,12.99
25,68,1,12.99
25,73,1,10.49
25,75,5,49.95
26,1,3,42.72
26,4,3,59.97
27,1,6,83.41
27,2,4,52.46
28,1,3,39.51
28,4,2,25.74
28,10,2,25.74
29,1,3,46.72
29,6,3,67.31
29,10,3,41.1
29,14,3,44.52
29,16,1,13.97
29,18,2,26.14
29,22,1,32.45
29,28,4,64.39
29,36,1,14.79
29,44,3,35.97
29,69,4,48.45
30,1,1,14.37
30,7,1,13.97
31,1,4,59.06
31,66,4,42.89
31,67,3,38.06
31,73,3,37.04
32,1,3,49.97
32,4,1,16.36
32,63,1,11.88
33,1,3,41.69
33,3,2,29.92
33,7,5,73.42
33,18,2,40.74
33,20,3,54.25
33,22,1,14.96
33,23,2,30.13
33,35,2,35.69
33,36,1,11.77
33,40,8,135.42
33,41,5,69.45
33,42,3,48.97
33,44,4,54.46
33,45,9,147.91000000000003
33,46,1,14.49
33,47,7,92.93
33,54,3,36.97
33,61,3,34.47
33,62,4,35.35
33,63,2,42.48
34,1,2,23.14
35,1,2,26.73
35,39,1,15.49
36,1,3,37.91
36,5,1,11.77
37,5,2,31.26
37,10,2,29.13
37,26,1,13.97
37,33,1,14.37
37,44,3,39.47
37,72,2,27.48
38,1,1,12.49
39,1,3,33.33
39,11,4,50.68
39,20,2,28.93
39,62,4,49.55
39,63,2,58.96
40,1,2,28.34
40,10,1,13.97
40,18,1,15.96
40,35,1,14.96
40,37,5,81.44999999999999
40,43,2,25.98
40,50,5,71.95
40,59,2,15.57
40,61,3,36.34
40,62,1,14.42
41,1,1,17.99
42,1,4,38.32
43,1,2,29.33
43,7,2,25.74
43,9,1,10.77
43,48,1,36.99
43,73,1,14.49
44,1,3,44.69
44,25,1,14.96
45,1,1,14.37
46,1,3,41.53
46,4,4,60.11
46,11,3,45.09
46,32,4,58.07
46,34,4,57.11
46,40,2,26.98
46,46,2,26.98
47,1,5,63.64999999999999
47,4,3,44.97
47,7,1,15.37
47,8,2,30.92
47,10,2,22.75
47,11,2,27.94
47,14,2,28.759999999999998
47,16,1,19.97
47,17,1,41.77
47,24,1,19.99
47,25,1,4.79
47,32,1,9.99
47,44,1,19.49
47,61,1,12.99
47,64,3,37.47
47,67,1,13.99
47,75,1,12.99
48,1,4,52.72
48,4,4,73.5
48,6,3,37.93
48,12,5,58.99
48,23,2,29.92
48,31,3,42.85
48,33,1,15.36
48,34,1,24.37
48,41,1,25.49
48,42,3,46.97
48,44,2,41.98
48,45,3,42.47
48,47,2,16.98
48,49,1,9.49
48,54,3,40.47
48,64,3,51.47
48,75,1,9.49
48,76,2,29.48
49,1,2,27.94
50,1,1,6.79
51,4,5,71.42
51,27,8,111.93
51,35,7,104.6
51,48,7,79.42999999999999
52,1,5,104.09
52,3,2,33.98
52,4,2,27.74
52,5,3,38.33
52,20,4,59.84
52,25,7,104.72
52,71,2,76.98
53,1,1,19.99
53,33,1,14.37
53,50,1,11.49
53,56,1,11.88
53,58,1,14.49
53,70,1,13.99
54,1,2,33.96
55,1,5,66.09
55,2,1,15.36
56,1,2,27.73
56,3,1,15.96
56,22,2,21.54
56,51,4,63.96
57,1,4,57.86
58,1,1,20.99
59,1,1,13.99
59,2,1,11.77
59,4,1,10.77
60,5,2,21.75
61,1,11,155.65
62,1,3,32.91
62,3,1,17.96
62,7,1,13.97
62,10,2,24.54
62,11,2,28.14
62,20,2,14.55
62,21,1,5.78
62,35,1,15.36
62,40,2,25.98
62,42,1,15.99
62,44,3,41.97
63,1,3,44.97
63,47,2,26.98
63,68,2,24.48
63,73,2,24.48
64,1,1,11.77
64,7,2,13.98
64,19,2,26.73
64,29,1,15.36
64,38,3,41.47
64,44,3,53.47
64,48,8,59.92
64,52,3,41.97
64,61,1,7.68
64,67,2,35.48
64,69,2,21.98
64,78,3,37.56
65,1,1,18.77
65,59,2,35.98
65,64,1,13.99
66,1,1,39.99
67,1,2,29.73
67,2,1,29.99
67,3,1,11.77
68,1,2,40.36
69,1,14,217.07999999999998
70,1,5,72.23
71,1,1,13.97
72,1,1,11.99
73,1,1,13.97
73,9,2,24.14
73,11,4,56.46
74,1,1,41.99
75,1,5,69.81
76,1,1,9.99
77,1,1,12.97
78,2,3,41.52
78,69,4,53.74
79,1,6,77.44
80,1,4,43.46
81,1,2,74.76
81,2,2,56.36
81,3,3,35.31
81,5,2,27.76
81,8,3,35.31
81,10,1,14.99
81,14,1,13.77
81,21,1,14.96
81,23,6,90.57000000000001
81,25,1,14.96
81,29,1,11.97
81,37,2,26.98
81,39,1,12.99
82,1,3,38.5
82,16,3,48.5
82,39,2,30.98
82,47,3,43.97
82,61,3,40.56
82,67,3,40.29
83,1,1,13.0
83,4,3,47.69
83,30,3,19.5
83,68,1,21.49
84,1,1,13.97
85,1,3,26.31
86,1,2,23.94
87,1,7,103.37
87,22,2,29.92
87,31,3,45.28
87,41,2,27.98
88,8,1,14.99
88,43,2,19.98
89,1,3,47.08
89,2,2,30.72
89,5,2,30.72
89,13,2,27.13
89,15,1,20.97
89,21,1,15.36
89,31,4,60.67
89,34,2,46.42
89,42,2,27.48
89,44,2,18.98
89,49,3,39.97
89,51,2,29.48
89,52,4,51.459999999999994
89,56,2,34.98
89,59,2,26.98
89,61,1,22.49
